term,canonical_id,entry_type,language,aliases,definition,traits
API,software:api,software_term,en,Application Programming Interface;interface contract,A contract that lets software components request capabilities or data from each other.,"{""domain"":""software_development"",""category"":""interface"",""maturity"":""stable""}"
SDK,software:sdk,software_term,en,Software Development Kit;developer kit,A bundled set of libraries tools and documentation for building against a platform.,"{""domain"":""software_development"",""category"":""tooling"",""maturity"":""stable""}"
CLI,software:cli,software_interface,en,Command Line Interface;command-line tool,A text-based interface for operating software through commands and arguments.,"{""domain"":""software_development"",""category"":""interface"",""maturity"":""stable""}"
CI,software:ci,software_practice,en,Continuous Integration;build pipeline,A practice of automatically integrating and checking code changes with repeatable validation.,"{""domain"":""software_development"",""category"":""delivery"",""maturity"":""stable""}"
CD,software:cd,software_practice,en,Continuous Delivery;Continuous Deployment,A practice of preparing or releasing software changes through automated delivery workflows.,"{""domain"":""software_development"",""category"":""delivery"",""maturity"":""stable""}"
MCP,software:mcp,protocol,en,Model Context Protocol;MCP server;MCP tool,A protocol pattern for exposing tools resources and prompts to AI applications.,"{""domain"":""software_development"",""category"":""agent_protocol"",""maturity"":""emerging""}"
RAG,software:rag,architecture,en,Retrieval-Augmented Generation;retrieval augmented generation,A pattern that grounds generated answers with retrieved external context.,"{""domain"":""software_development"",""category"":""ai_architecture"",""maturity"":""stable""}"
SQL injection,security:sql_injection,security_vulnerability,en,SQLi;database injection,A vulnerability where untrusted input changes the meaning of a SQL query.,"{""domain"":""software_development"",""category"":""application_security"",""maturity"":""stable""}"
XSS,security:xss,security_vulnerability,en,Cross-site scripting;cross site scripting,A vulnerability where untrusted content executes script in another user's browser context.,"{""domain"":""software_development"",""category"":""application_security"",""maturity"":""stable""}"
Unicode confusable,security:unicode_confusable,security_rule,en,homoglyph;confusable character,A Unicode character that can be visually mistaken for another character in a security-sensitive context.,"{""domain"":""software_development"",""category"":""unicode_security"",""maturity"":""stable""}"
Trojan Source,security:trojan_source,security_attack,en,bidi source attack;CVE-2021-42574,A source-code attack pattern that uses directional Unicode controls to make code display misleadingly.,"{""domain"":""software_development"",""category"":""unicode_security"",""maturity"":""stable""}"
